States and selected areas:  Employment status of the civilian noninstitutional population,;;;;;;;;;;
January 1976 to date, seasonally adjusted;;;;;;;;;;
;;;;;;;;;;
FIPS Code;State and area;Period;;Civilian non-institutional population;Civilian labor force;;;;;
;;;;;Total;Percent of population;Employment;;Unemployment;
;;Year;Month;;;;Total;Percent of population;Total;Rate
;;Labor force;Labor force;;;;Labor force;;level;rate
;;;;;;;;;;
01;Alabama;1976;01;2 605 000   ;1 492 409   ;57,3   ;1 392 154   ;53,4   ;100 255   ;6,7   
02;Alaska;1976;01;232 000   ;159 154   ;68,6   ;147 809   ;63,7   ;11 345   ;7,1   
04;Arizona;1976;01;1 621 000   ;972 413   ;60,0   ;872 738   ;53,8   ;99 675   ;10,3   
05;Arkansas;1976;01;1 536 000   ;882 835   ;57,5   ;817 756   ;53,2   ;65 079   ;7,4   
06;California;1976;01;15 621 000   ;9 781 720   ;62,6   ;8 892 663   ;56,9   ;889 057   ;9,1   
037;Los Angeles County;1976;01;5 273 000   ;3 375 681   ;64,0   ;3 078 200   ;58,4   ;297 481   ;8,8   
08;Colorado;1976;01;1 832 000   ;1 232 334   ;67,3   ;1 164 563   ;63,6   ;67 771   ;5,5   
09;Connecticut;1976;01;2 248 000   ;1 443 606   ;64,2   ;1 302 422   ;57,9   ;141 184   ;9,8   
10;Delaware;1976;01;417 000   ;262 688   ;63,0   ;242 382   ;58,1   ;20 306   ;7,7   
11;District of Columbia;1976;01;520 000   ;339 378   ;65,3   ;308 820   ;59,4   ;30 558   ;9,0   
12;Florida;1976;01;6 421 000   ;3 592 149   ;55,9   ;3 248 523   ;50,6   ;343 626   ;9,6   
13;Georgia;1976;01;3 522 000   ;2 250 451   ;63,9   ;2 061 744   ;58,5   ;188 707   ;8,4   
15;Hawaii;1976;01;583 000   ;408 869   ;70,1   ;367 414   ;63,0   ;41 455   ;10,1   
16;Idaho;1976;01;580 000   ;366 173   ;63,1   ;346 216   ;59,7   ;19 957   ;5,5   
17;Illinois;1976;01;8 127 000   ;5 133 491   ;63,2   ;4 788 469   ;58,9   ;345 022   ;6,7   
18;Indiana;1976;01;3 789 000   ;2 418 961   ;63,8   ;2 260 951   ;59,7   ;158 010   ;6,5   
19;Iowa;1976;01;2 066 000   ;1 324 627   ;64,1   ;1 269 103   ;61,4   ;55 524   ;4,2   
20;Kansas;1976;01;1 635 000   ;1 061 055   ;64,9   ;1 015 585   ;62,1   ;45 470   ;4,3   
21;Kentucky;1976;01;2 459 000   ;1 489 641   ;60,6   ;1 406 646   ;57,2   ;82 995   ;5,6   
22;Louisiana;1976;01;2 672 000   ;1 513 827   ;56,7   ;1 417 816   ;53,1   ;96 011   ;6,3   
23;Maine;1976;01;764 000   ;475 639   ;62,3   ;433 990   ;56,8   ;41 649   ;8,8   
24;Maryland;1976;01;2 954 000   ;1 905 561   ;64,5   ;1 781 850   ;60,3   ;123 711   ;6,5   
25;Massachusetts;1976;01;4 194 000   ;2 715 161   ;64,7   ;2 435 124   ;58,1   ;280 037   ;10,3   
26;Michigan;1976;01;6 417 000   ;3 959 251   ;61,7   ;3 568 988   ;55,6   ;390 263   ;9,9   
27;Minnesota;1976;01;2 788 000   ;1 832 797   ;65,7   ;1 722 777   ;61,8   ;110 020   ;6,0   
28;Mississippi;1976;01;1 640 000   ;961 115   ;58,6   ;896 774   ;54,7   ;64 341   ;6,7   
29;Missouri;1976;01;3 464 000   ;2 088 814   ;60,3   ;1 963 951   ;56,7   ;124 863   ;6,0   
30;Montana;1976;01;531 000   ;327 276   ;61,6   ;308 066   ;58,0   ;19 210   ;5,9   
31;Nebraska;1976;01;1 095 000   ;715 752   ;65,4   ;692 137   ;63,2   ;23 615   ;3,3   
32;Nevada;1976;01;451 000   ;322 417   ;71,5   ;293 574   ;65,1   ;28 843   ;8,9   
33;New Hampshire;1976;01;593 000   ;391 585   ;66,0   ;364 963   ;61,5   ;26 622   ;6,8   
34;New Jersey;1976;01;5 358 000   ;3 281 099   ;61,2   ;2 944 762   ;55,0   ;336 337   ;10,3   
35;New Mexico;1976;01;792 000   ;475 004   ;60,0   ;432 875   ;54,7   ;42 129   ;8,9   
36;New York;1976;01;13 196 000   ;7 687 165   ;58,3   ;6 896 554   ;52,3   ;790 611   ;10,3   
51000;New York city;1976;01;5 694 000   ;3 114 007   ;54,7   ;2 768 623   ;48,6   ;345 384   ;11,1   
37;North Carolina;1976;01;3 898 000   ;2 596 329   ;66,6   ;2 428 430   ;62,3   ;167 899   ;6,5   
38;North Dakota;1976;01;442 000   ;275 609   ;62,4   ;266 394   ;60,3   ;9 215   ;3,3   
39;Ohio;1976;01;7 701 000   ;4 756 109   ;61,8   ;4 371 860   ;56,8   ;384 249   ;8,1   
40;Oklahoma;1976;01;1 999 000   ;1 180 825   ;59,1   ;1 110 620   ;55,6   ;70 205   ;5,9   
41;Oregon;1976;01;1 716 000   ;1 074 151   ;62,6   ;969 974   ;56,5   ;104 177   ;9,7   
42;Pennsylvania;1976;01;8 774 000   ;5 105 548   ;58,2   ;4 693 332   ;53,5   ;412 216   ;8,1   
44;Rhode Island;1976;01;691 000   ;434 960   ;62,9   ;399 599   ;57,8   ;35 361   ;8,1   
45;South Carolina;1976;01;1 984 000   ;1 292 816   ;65,2   ;1 195 062   ;60,2   ;97 754   ;7,6   
46;South Dakota;1976;01;477 000   ;308 735   ;64,7   ;298 900   ;62,7   ;9 835   ;3,2   
47;Tennessee;1976;01;3 078 000   ;1 819 844   ;59,1   ;1 710 143   ;55,6   ;109 701   ;6,0   
48;Texas;1976;01;8 818 000   ;5 627 987   ;63,8   ;5 298 778   ;60,1   ;329 209   ;5,8   
49;Utah;1976;01;824 000   ;519 498   ;63,0   ;489 265   ;59,4   ;30 233   ;5,8   
50;Vermont;1976;01;339 000   ;213 667   ;63,0   ;195 099   ;57,6   ;18 568   ;8,7   
51;Virginia;1976;01;3 534 000   ;2 328 545   ;65,9   ;2 190 847   ;62,0   ;137 698   ;5,9   
53;Washington;1976;01;2 598 000   ;1 584 688   ;61,0   ;1 446 319   ;55,7   ;138 369   ;8,7   
54;West Virginia;1976;01;1 352 000   ;702 600   ;52,0   ;647 491   ;47,9   ;55 109   ;7,8   
55;Wisconsin;1976;01;3 245 000   ;2 125 315   ;65,5   ;2 003 102   ;61,7   ;122 213   ;5,8   
56;Wyoming;1976;01;270 000   ;175 876   ;65,1   ;168 592   ;62,4   ;7 284   ;4,1   
01;Alabama;1976;02;2 610 000   ;1 491 820   ;57,2   ;1 391 975   ;53,3   ;99 845   ;6,7   
02;Alaska;1976;02;234 000   ;158 961   ;67,9   ;147 666   ;63,1   ;11 295   ;7,1   
04;Arizona;1976;02;1 626 000   ;971 753   ;59,8   ;871 997   ;53,6   ;99 756   ;10,3   
05;Arkansas;1976;02;1 538 000   ;882 316   ;57,4   ;817 132   ;53,1   ;65 184   ;7,4   
06;California;1976;02;15 657 000   ;9 775 948   ;62,4   ;8 888 464   ;56,8   ;887 484   ;9,1   
037;Los Angeles County;1976;02;5 283 000   ;3 374 478   ;63,9   ;3 077 504   ;58,3   ;296 974   ;8,8   
08;Colorado;1976;02;1 837 000   ;1 232 109   ;67,1   ;1 164 631   ;63,4   ;67 478   ;5,5   
09;Connecticut;1976;02;2 251 000   ;1 442 758   ;64,1   ;1 301 572   ;57,8   ;141 186   ;9,8   
10;Delaware;1976;02;418 000   ;262 592   ;62,8   ;242 420   ;58,0   ;20 172   ;7,7   
11;District of Columbia;1976;02;519 000   ;339 539   ;65,4   ;308 976   ;59,5   ;30 563   ;9,0   
12;Florida;1976;02;6 437 000   ;3 591 389   ;55,8   ;3 247 280   ;50,4   ;344 109   ;9,6   
13;Georgia;1976;02;3 528 000   ;2 249 410   ;63,8   ;2 060 612   ;58,4   ;188 798   ;8,4   
15;Hawaii;1976;02;585 000   ;408 905   ;69,9   ;367 268   ;62,8   ;41 637   ;10,2   
16;Idaho;1976;02;582 000   ;365 886   ;62,9   ;345 965   ;59,4   ;19 921   ;5,4   
17;Illinois;1976;02;8 136 000   ;5 132 066   ;63,1   ;4 787 725   ;58,8   ;344 341   ;6,7   
18;Indiana;1976;02;3 793 000   ;2 418 034   ;63,7   ;2 259 666   ;59,6   ;158 368   ;6,5   
19;Iowa;1976;02;2 069 000   ;1 324 134   ;64,0   ;1 268 472   ;61,3   ;55 662   ;4,2   
20;Kansas;1976;02;1 637 000   ;1 060 584   ;64,8   ;1 015 127   ;62,0   ;45 457   ;4,3   
21;Kentucky;1976;02;2 465 000   ;1 489 199   ;60,4   ;1 406 247   ;57,0   ;82 952   ;5,6   
22;Louisiana;1976;02;2 678 000   ;1 513 026   ;56,5   ;1 417 468   ;52,9   ;95 558   ;6,3   
23;Maine;1976;02;766 000   ;475 595   ;62,1   ;433 930   ;56,6   ;41 665   ;8,8   
24;Maryland;1976;02;2 958 000   ;1 904 839   ;64,4   ;1 781 465   ;60,2   ;123 374   ;6,5   
25;Massachusetts;1976;02;4 198 000   ;2 714 974   ;64,7   ;2 434 220   ;58,0   ;280 754   ;10,3   
26;Michigan;1976;02;6 424 000   ;3 957 748   ;61,6   ;3 566 516   ;55,5   ;391 232   ;9,9   
27;Minnesota;1976;02;2 793 000   ;1 832 001   ;65,6   ;1 722 014   ;61,7   ;109 987   ;6,0   
28;Mississippi;1976;02;1 644 000   ;960 686   ;58,4   ;896 491   ;54,5   ;64 195   ;6,7   
29;Missouri;1976;02;3 469 000   ;2 087 305   ;60,2   ;1 962 686   ;56,6   ;124 619   ;6,0   
30;Montana;1976;02;532 000   ;327 202   ;61,5   ;308 039   ;57,9   ;19 163   ;5,9   
31;Nebraska;1976;02;1 096 000   ;715 577   ;65,3   ;691 996   ;63,1   ;23 581   ;3,3   
32;Nevada;1976;02;454 000   ;322 146   ;71,0   ;293 280   ;64,6   ;28 866   ;9,0   
33;New Hampshire;1976;02;595 000   ;391 323   ;65,8   ;364 669   ;61,3   ;26 654   ;6,8   
34;New Jersey;1976;02;5 363 000   ;3 280 097   ;61,2   ;2 944 167   ;54,9   ;335 930   ;10,2   
